DateTime, Sensor, Temperature (Celcius), Pressure (hPa)
2017-06-21 00:00:22 +0800, BMP280, 27.956633, 1006.204895
2017-06-21 00:00:52 +0800, BMP280, 27.954639, 1006.163452
2017-06-21 00:01:22 +0800, BMP280, 27.949656, 1006.171387
2017-06-21 00:01:52 +0800, BMP280, 27.929720, 1006.170166
2017-06-21 00:02:22 +0800, BMP280, 27.913773, 1006.170166
2017-06-21 00:02:52 +0800, BMP280, 27.908789, 1006.183472
2017-06-21 00:03:22 +0800, BMP280, 27.900814, 1006.159058
2017-06-21 00:03:52 +0800, BMP280, 27.886860, 1006.178833
2017-06-21 00:04:23 +0800, BMP280, 27.885862, 1006.182556
2017-06-21 00:04:53 +0800, BMP280, 27.879883, 1006.194031
2017-06-21 00:05:23 +0800, BMP280, 27.876892, 1006.199951
2017-06-21 00:05:53 +0800, BMP280, 27.872906, 1006.193054
2017-06-21 00:06:23 +0800, BMP280, 27.873901, 1006.232849
2017-06-21 00:06:53 +0800, BMP280, 27.874899, 1006.223633
2017-06-21 00:07:23 +0800, BMP280, 27.872906, 1006.231201
2017-06-21 00:07:53 +0800, BMP280, 27.869915, 1006.236938
2017-06-21 00:08:23 +0800, BMP280, 27.871908, 1006.218567
2017-06-21 00:08:53 +0800, BMP280, 27.871908, 1006.229431
2017-06-21 00:09:23 +0800, BMP280, 27.868917, 1006.164551
2017-06-21 00:09:53 +0800, BMP280, 27.867922, 1006.190002
2017-06-21 00:10:23 +0800, BMP280, 27.864931, 1006.174011
2017-06-21 00:10:53 +0800, BMP280, 27.867922, 1006.179138
2017-06-21 00:11:24 +0800, BMP280, 27.860945, 1006.178223
2017-06-21 00:11:54 +0800, BMP280, 27.859947, 1006.165588
2017-06-21 00:12:24 +0800, BMP280, 27.860945, 1006.167297
2017-06-21 00:12:54 +0800, BMP280, 27.857954, 1006.140442
2017-06-21 00:13:24 +0800, BMP280, 27.858950, 1006.131287
2017-06-21 00:13:54 +0800, BMP280, 27.857954, 1006.151306
2017-06-21 00:14:24 +0800, BMP280, 27.854963, 1006.113647
2017-06-21 00:14:54 +0800, BMP280, 27.855961, 1006.115295
2017-06-21 00:15:25 +0800, BMP280, 27.857954, 1006.135071
2017-06-21 00:15:55 +0800, BMP280, 27.851973, 1006.097656
2017-06-21 00:16:25 +0800, BMP280, 27.850977, 1006.123108
2017-06-21 00:16:55 +0800, BMP280, 27.859947, 1006.100281
2017-06-21 00:17:26 +0800, BMP280, 27.860945, 1006.080322
2017-06-21 00:17:56 +0800, BMP280, 27.860945, 1006.112915
2017-06-21 00:18:26 +0800, BMP280, 27.858950, 1006.076904
2017-06-21 00:18:56 +0800, BMP280, 27.857954, 1006.075073
2017-06-21 00:19:26 +0800, BMP280, 27.862938, 1006.072693
2017-06-21 00:19:56 +0800, BMP280, 27.866924, 1006.074097
2017-06-21 00:20:26 +0800, BMP280, 27.860945, 1006.053040
2017-06-21 00:20:56 +0800, BMP280, 27.859947, 1006.040527
2017-06-21 00:21:26 +0800, BMP280, 27.865929, 1006.045166
2017-06-21 00:21:57 +0800, BMP280, 27.864931, 1006.076233
2017-06-21 00:22:27 +0800, BMP280, 27.863934, 1006.036377
2017-06-21 00:22:57 +0800, BMP280, 27.862938, 1005.996582
2017-06-21 00:23:27 +0800, BMP280, 27.866924, 1006.025146
2017-06-21 00:23:57 +0800, BMP280, 27.865929, 1005.985352
2017-06-21 00:24:27 +0800, BMP280, 27.869915, 1005.997620
2017-06-21 00:24:57 +0800, BMP280, 27.862938, 1005.958435
2017-06-21 00:25:27 +0800, BMP280, 27.865929, 1005.974365
2017-06-21 00:25:57 +0800, BMP280, 27.864931, 1005.934753
2017-06-21 00:26:27 +0800, BMP280, 27.869915, 1005.932251
2017-06-21 00:26:57 +0800, BMP280, 27.859947, 1005.926208
2017-06-21 00:27:27 +0800, BMP280, 27.866924, 1005.899963
2017-06-21 00:27:57 +0800, BMP280, 27.861940, 1005.886108
2017-06-21 00:28:27 +0800, BMP280, 27.859947, 1005.871826
2017-06-21 00:28:57 +0800, BMP280, 27.860945, 1005.846313
2017-06-21 00:29:28 +0800, BMP280, 27.863934, 1005.851379
2017-06-21 00:29:58 +0800, BMP280, 27.859947, 1005.860962
2017-06-21 00:30:28 +0800, BMP280, 27.861940, 1005.842468
2017-06-21 00:30:58 +0800, BMP280, 27.854963, 1005.798096
2017-06-21 00:31:28 +0800, BMP280, 27.857954, 1005.819519
2017-06-21 00:31:58 +0800, BMP280, 27.858950, 1005.837402
2017-06-21 00:32:28 +0800, BMP280, 27.859947, 1005.828369
2017-06-21 00:32:58 +0800, BMP280, 27.859947, 1005.822815
2017-06-21 00:33:28 +0800, BMP280, 27.859947, 1005.844604
2017-06-21 00:33:58 +0800, BMP280, 27.856956, 1005.801453
2017-06-21 00:34:28 +0800, BMP280, 27.856956, 1005.801392
2017-06-21 00:34:58 +0800, BMP280, 27.858950, 1005.842896
2017-06-21 00:35:28 +0800, BMP280, 27.861940, 1005.815369
2017-06-21 00:35:58 +0800, BMP280, 27.859947, 1005.811951
2017-06-21 00:36:28 +0800, BMP280, 27.858950, 1005.826599
2017-06-21 00:36:58 +0800, BMP280, 27.856956, 1005.790649
2017-06-21 00:37:29 +0800, BMP280, 27.858950, 1005.804871
2017-06-21 00:37:59 +0800, BMP280, 27.855961, 1005.821472
2017-06-21 00:38:29 +0800, BMP280, 27.858950, 1005.826599
2017-06-21 00:38:59 +0800, BMP280, 27.855961, 1005.816040
2017-06-21 00:39:29 +0800, BMP280, 27.853966, 1005.823608
2017-06-21 00:39:59 +0800, BMP280, 27.850977, 1005.813049
2017-06-21 00:40:29 +0800, BMP280, 27.855961, 1005.816101
2017-06-21 00:40:59 +0800, BMP280, 27.854963, 1005.808960
2017-06-21 00:41:29 +0800, BMP280, 27.858950, 1005.826599
2017-06-21 00:41:59 +0800, BMP280, 27.853966, 1005.828979
2017-06-21 00:42:29 +0800, BMP280, 27.860945, 1005.824524
2017-06-21 00:42:59 +0800, BMP280, 27.857954, 1005.835815
2017-06-21 00:43:29 +0800, BMP280, 27.859947, 1005.828369
2017-06-21 00:43:59 +0800, BMP280, 27.854963, 1005.819763
2017-06-21 00:44:29 +0800, BMP280, 27.857954, 1005.813965
2017-06-21 00:45:00 +0800, BMP280, 27.855961, 1005.837891
2017-06-21 00:45:30 +0800, BMP280, 27.860945, 1005.830078
2017-06-21 00:46:00 +0800, BMP280, 27.857954, 1005.808655
2017-06-21 00:46:30 +0800, BMP280, 27.860945, 1005.819092
2017-06-21 00:47:00 +0800, BMP280, 27.860945, 1005.819031
2017-06-21 00:47:30 +0800, BMP280, 27.861940, 1005.848022
2017-06-21 00:48:00 +0800, BMP280, 27.860945, 1005.835449
2017-06-21 00:48:31 +0800, BMP280, 27.861940, 1005.799011
2017-06-21 00:49:01 +0800, BMP280, 27.861940, 1005.853455
2017-06-21 00:49:31 +0800, BMP280, 27.865929, 1005.827637
2017-06-21 00:50:01 +0800, BMP280, 27.860945, 1005.824524
2017-06-21 00:50:32 +0800, BMP280, 27.857954, 1005.819519
2017-06-21 00:51:02 +0800, BMP280, 27.858950, 1005.848389
2017-06-21 00:51:32 +0800, BMP280, 27.859947, 1005.817322
2017-06-21 00:52:02 +0800, BMP280, 27.856956, 1005.790649
2017-06-21 00:52:32 +0800, BMP280, 27.853966, 1005.796387
2017-06-21 00:53:02 +0800, BMP280, 27.858950, 1005.810303
2017-06-21 00:53:32 +0800, BMP280, 27.857954, 1005.835815
2017-06-21 00:54:03 +0800, BMP280, 27.852970, 1005.859985
2017-06-21 00:54:33 +0800, BMP280, 27.856956, 1005.855896
2017-06-21 00:55:03 +0800, BMP280, 27.850977, 1005.845703
2017-06-21 00:55:33 +0800, BMP280, 27.850977, 1005.862000
2017-06-21 00:56:03 +0800, BMP280, 27.845993, 1005.869873
2017-06-21 00:56:33 +0800, BMP280, 27.847986, 1005.867798
2017-06-21 00:57:03 +0800, BMP280, 27.839016, 1005.874268
2017-06-21 00:57:33 +0800, BMP280, 27.846989, 1005.849792
2017-06-21 00:58:03 +0800, BMP280, 27.846989, 1005.866089
2017-06-21 00:58:33 +0800, BMP280, 27.846989, 1005.876953
2017-06-21 00:59:03 +0800, BMP280, 27.848982, 1005.880310
